env,baseline,seed,step,avg_return,std_return
CartPole-v1,none,0,10000,61.8,10.609429767899874
CartPole-v1,none,0,20000,224.4,72.70928413895986
CartPole-v1,none,0,30000,403.2,100.27641796554163
CartPole-v1,none,0,40000,330.2,64.77468641375272
CartPole-v1,none,0,50000,462.4,75.2
CartPole-v1,none,0,60000,401.2,116.77568240006134
CartPole-v1,none,0,70000,426.6,67.5621195641463
CartPole-v1,none,0,80000,464.0,58.586687907749145
CartPole-v1,none,0,90000,357.6,116.98991409519027
CartPole-v1,none,0,100000,446.2,81.74692654773023
CartPole-v1,none,0,110000,495.6,8.799999999999999
CartPole-v1,none,0,120000,500.0,0.0
CartPole-v1,none,0,130000,435.6,66.40662617540512
CartPole-v1,none,0,140000,500.0,0.0
CartPole-v1,none,0,150000,500.0,0.0
CartPole-v1,none,0,160000,500.0,0.0
CartPole-v1,none,0,170000,500.0,0.0
CartPole-v1,none,0,180000,500.0,0.0
CartPole-v1,none,0,190000,443.2,69.91251676202195
CartPole-v1,none,0,200000,482.6,34.800000000000004
CartPole-v1,none,1,10000,41.8,9.282241108697834
CartPole-v1,none,1,20000,500.0,0.0
CartPole-v1,none,1,30000,382.4,79.48987356890184
CartPole-v1,none,1,40000,412.2,109.6
CartPole-v1,none,1,50000,500.0,0.0
CartPole-v1,none,1,60000,483.6,32.8
CartPole-v1,none,1,70000,451.2,61.82362008164841
CartPole-v1,none,1,80000,396.4,93.74134626726885
CartPole-v1,none,1,90000,384.0,96.94740842333022
CartPole-v1,none,1,100000,500.0,0.0
CartPole-v1,none,1,110000,487.6,21.47184202624451
CartPole-v1,none,1,120000,500.0,0.0
CartPole-v1,none,1,130000,500.0,0.0
CartPole-v1,none,1,140000,500.0,0.0
CartPole-v1,none,1,150000,500.0,0.0
CartPole-v1,none,1,160000,499.6,0.8
CartPole-v1,none,1,170000,500.0,0.0
CartPole-v1,none,1,180000,500.0,0.0
CartPole-v1,none,1,190000,500.0,0.0
CartPole-v1,none,1,200000,500.0,0.0
CartPole-v1,none,2,10000,283.0,99.34183408816247
CartPole-v1,none,2,20000,143.8,26.095210288480146
CartPole-v1,none,2,30000,431.2,84.30041518284474
CartPole-v1,none,2,40000,500.0,0.0
CartPole-v1,none,2,50000,438.4,53.83530440147989
CartPole-v1,none,2,60000,414.2,92.40865760306228
CartPole-v1,none,2,70000,451.4,72.88237098228899
CartPole-v1,none,2,80000,439.6,69.24045060511955
