env,baseline,seed,step,avg_return,std_return
CartPole-v1,none,0,200,10.0,0.0
CartPole-v1,none,0,400,9.5,0.5
CartPole-v1,none,0,600,10.0,0.0
CartPole-v1,none,0,800,9.0,0.0
CartPole-v1,none,0,1000,9.5,0.5
CartPole-v1,none,0,1200,10.0,0.0
CartPole-v1,avg,0,200,10.0,0.0
CartPole-v1,avg,0,400,9.5,0.5
CartPole-v1,avg,0,600,10.0,0.0
CartPole-v1,avg,0,800,9.0,0.0
CartPole-v1,avg,0,1000,9.5,0.5
CartPole-v1,avg,0,1200,10.0,0.0
CartPole-v1,value,0,200,10.0,0.0
CartPole-v1,value,0,400,9.5,0.5
CartPole-v1,value,0,600,10.0,0.0
CartPole-v1,value,0,800,9.0,0.0
CartPole-v1,value,0,1000,9.5,0.5
CartPole-v1,value,0,1200,10.0,0.0
CartPole-v1,gae,0,200,10.0,0.0
CartPole-v1,gae,0,400,9.5,0.5
CartPole-v1,gae,0,600,10.0,0.0
CartPole-v1,gae,0,800,9.0,0.0
CartPole-v1,gae,0,1000,9.5,0.5
CartPole-v1,gae,0,1200,10.0,0.0
LunarLander-v3,none,0,200,-124.58626054743343,0.3514277765147824
LunarLander-v3,none,0,400,-90.45746531053342,82.15360466224132
LunarLander-v3,none,0,600,-196.86410883583775,94.48384714933403
LunarLander-v3,none,0,800,-133.3292943100944,2.051407221970777
LunarLander-v3,none,0,1000,-122.79221928314576,0.33497965725078416
LunarLander-v3,none,0,1200,-371.3311454969853,163.9125865396339
LunarLander-v3,avg,0,200,-124.58626054743343,0.3514277765147824
LunarLander-v3,avg,0,400,-90.45746531053342,82.15360466224132
LunarLander-v3,avg,0,600,-196.86410883583775,94.48384714933403
LunarLander-v3,avg,0,800,-133.3292943100944,2.051407221970777
LunarLander-v3,avg,0,1000,-122.79221928314576,0.33497965725078416
LunarLander-v3,avg,0,1200,-371.3311454969853,163.9125865396339
LunarLander-v3,value,0,200,-219.7120620136614,115.67466471480152
LunarLander-v3,value,0,400,-307.34772002736554,69.51296212838231
LunarLander-v3,value,0,600,-177.35899537945605,41.33704488387113
LunarLander-v3,value,0,800,-293.9035742529345,78.54845002024356
LunarLander-v3,value,0,1000,-119.80544771852988,17.442516912579094
LunarLander-v3,value,0,1200,-433.15646287635855,1.1731526538017363
LunarLander-v3,gae,0,200,-219.7120620136614,115.67466471480152
LunarLander-v3,gae,0,400,-185.02927058613176,146.69817907294788
LunarLander-v3,gae,0,600,-198.67242870444477,52.342854033851964
LunarLander-v3,gae,0,800,-161.90535193898648,77.2259129695483
LunarLander-v3,gae,0,1000,-288.53179871244424,155.1920709004767
LunarLander-v3,gae,0,1200,-196.6983946725173,34.10504122889725
